ExoVar,AIC,DiffAIC,PercentGainAIC
iv30call,5921.164085917722,122.09701374807628,0.020203828981479623
iv60call,5710.090833413856,333.17026625194285,0.055130874002840564
iv90call,5751.364915195328,291.89618447047087,0.04830110426415519
iv120call,5706.672592377948,336.5885072878509,0.055696502556618774
iv150call,5684.844290259201,358.41680940659717,0.05930850967640934
iv180call,5728.608575862667,314.65252380313177,0.05206667701657513
iv360call,5865.812669439676,177.44843022612258,0.029363025575038573
callvol,6021.5225219147,21.738577751099,0.0035971601081907873
putvol,6044.655490558844,-1.3943908930450561,-0.00023073484167714813
totalvol,6036.392705860548,6.868393805250889,0.0011365376560729308
calloi,6043.346031749974,-0.08493208417530695,-1.4054015336190559e-05
putoi,6045.2290769326555,-1.9679772668569058,-0.0003256482277367989
totaloi,6044.514210984622,-1.2531113188233576,-0.0002073568058961835
CTVR,6010.8432859191425,32.417813746656066,0.005364291433386656
CToiR,6041.137407615274,2.123692050524369,0.0003514149091856733
ToiTVR,6043.644507794482,-0.3834081286831861,-6.34439125432441e-05
PCR,6037.3156656257115,5.945434040087093,0.00098381220702443
SM,5961.412993412974,81.84810625282444,0.013543698493740533
SWM,6016.96160561955,26.299494046248583,0.004351871218621182
WMEP,5897.953546774033,145.30755289176523,0.024044559798980215
MROI,6043.713917150695,-0.45281748489651363,-7.492932663815488e-05
WMD,6030.362896739515,12.898202926283375,0.0021343117091195455
WMG,6032.341793119855,10.919306545943982,0.0018068566566729735
WMT,6045.198783576384,-1.9376839105852923,-0.000320635477870127
WMV,6022.415700093188,20.845399572610404,0.0034493627246658574
